Category,Backend Endpoint,HTTP Method,Frontend Hook/Component,Frontend File Location,Status,Priority,Notes
Admin Users,/api/admin/users/{id},DELETE,useAdminUsers,useAdminUsers.ts:208,Implemented,High,
Admin Users,/api/admin/users/{id}/set-password,POST,useAdminUsers,useAdminUsers.ts:228,Implemented,High,
Admin Roles,/api/admin/policies,GET,usePolicies,usePolicies.ts:34,Implemented,High,
Admin Roles,/api/admin/policies,POST,usePolicies,usePolicies.ts:84,Implemented,High,
Admin Roles,/api/admin/policies,DELETE,usePolicies,usePolicies.ts:100,Implemented,High,
Admin Roles,/api/admin/roles/assign,POST,useAdminUsers,useAdminUsers.ts:249,Implemented,High,
Admin Roles,/api/admin/roles/revoke,DELETE,useAdminUsers,useAdminUsers.ts:272,Implemented,High,
Admin Roles,/api/admin/roles/users/{id}/roles,GET,useAdminUsers,useAdminUsers.ts:320,Implemented,Medium,
Admin Roles,/api/admin/roles/{role}/users,GET,useRoleManagementForm,useRoleManagementForm.ts:50,Implemented,Medium,
Admin Roles,/api/admin/roles/{role}/users,DELETE,None,N/A,Missing,Low,Bulk role removal not implemented
Admin Roles,/api/admin/roles/grouping-policies,POST,usePolicies,usePolicies.ts:169,Implemented,Medium,
Admin Roles,/api/admin/roles/grouping-policies,DELETE,usePolicies,usePolicies.ts:185,Implemented,Medium,
Admin Roles,/api/admin/roles,GET,usePolicies,usePolicies.ts:50,Implemented,High,
Admin Roles,/api/admin/roles/{role},DELETE,useRoleManagementForm,useRoleManagementForm.ts:170,Implemented,High,
Admin Roles,/api/admin/roles/templates,GET,usePolicies,usePolicies.ts:61,Implemented,Medium,
Admin Roles,/api/admin/roles/templates/apply,POST,usePolicies,usePolicies.ts:151,Implemented,Medium,
Admin Roles,/api/admin/roles/policies/batch,POST,usePolicies,usePolicies.ts:119,Implemented,Medium,
Admin Roles,/api/admin/roles/policies/validate,POST,usePolicies,usePolicies.ts:136,Implemented,Medium,
Admin Roles,/api/admin/permissions/simulate,POST,None,N/A,Missing,Low,Permission simulation not implemented
Admin Roles,/api/admin/roles/policies/statistics,GET,usePolicies,usePolicies.ts:72,Implemented,Medium,
Admin Roles,/api/admin/roles/policies/suggestions,GET,usePolicySuggestions,usePolicySuggestions.ts:27,Implemented,Low,
Admin Roles,/api/admin/roles/{role}/permissions/explain,GET,usePermissionExplain,usePermissionExplain.ts:32,Implemented,Medium,
Admin Roles,/api/admin/permissions/who-can-access,POST,None,N/A,Missing,Low,Reverse permission lookup not implemented
Admin Roles,/api/admin/roles/{role}/features,GET,FeaturePolicyTab,FeaturePolicyTab.tsx:73,Implemented,Low,
Admin Roles,/api/admin/roles/{role}/features/{feature}/toggle,POST,FeaturePolicyTab,FeaturePolicyTab.tsx:95,Implemented,Low,
Admin Config,/api/admin/assignment-config/{unit_id},GET,useOrganization,useOrganization.ts:1217,Implemented,High,
Admin Config,/api/admin/assignment-config/{unit_id},PUT,useOrganization,useOrganization.ts:1242,Implemented,High,
Admin Config,/api/admin/skill-rules,GET,useOrganization,useOrganization.ts:1274,Implemented,Medium,
Admin Config,/api/admin/skill-rules,POST,useOrganization,useOrganization.ts:1290,Implemented,Medium,
Admin Config,/api/admin/skill-rules/{id},DELETE,useOrganization,useOrganization.ts:1317,Implemented,Medium,
Distribution,/api/admin/distribution-rules,GET,Page Component,admin/distribution/page.tsx:45,Implemented,High,
Distribution,/api/admin/distribution-rules,POST,DistributionRuleDialog,DistributionRuleDialog.tsx:162,Implemented,High,
Distribution,/api/admin/distribution-rules/{id},PUT,DistributionRuleDialog,DistributionRuleDialog.tsx:160,Implemented,High,
Distribution,/api/admin/distribution-rules/{id},DELETE,Page Component,admin/distribution/page.tsx:65,Implemented,High,
Legacy,/api/majors,GET,useOrganization,useOrganization.ts:819,Deprecated,N/A,Remove - Use /api/major-programs
Legacy,/api/majors/{id},GET,useOrganization,useOrganization.ts:836,Deprecated,N/A,Remove - Use /api/major-programs/{id}
Legacy,/api/admin/majors,POST,useOrganization,useOrganization.ts:851,Deprecated,N/A,Remove - Use /api/admin/programs
Legacy,/api/admin/majors/{id},PUT,useOrganization,useOrganization.ts:880,Deprecated,N/A,Remove - Use /api/admin/programs/{id}
Legacy,/api/admin/majors/{id},DELETE,useOrganization,useOrganization.ts:910,Deprecated,N/A,Remove - Use /api/admin/programs/{id}
Legacy,/api/majors/{id}/academic-info,GET,useOrganization,useOrganization.ts:940,Deprecated,N/A,Remove - Use offerings academic info
Legacy,/api/majors/{id}/academic-info/{year},GET,useOrganization,useOrganization.ts:958,Deprecated,N/A,Remove - Use offerings academic info
