"id","lead_id","changed_by_user_id","reason","changed_at","old_status","new_status","old_consultation_status_id","new_consultation_status_id","old_pipeline_stage_id","new_pipeline_stage_id","old_assigned_officer_id","new_assigned_officer_id"
503,401,9,"Stage transition: stg01 → stg02","2025-10-21 05:21:39.646161+07","new","contacted",NULL,NULL,"stg01","stg02",9,9
504,401,9,"Stage transition: stg02 → stg03","2025-10-24 17:21:39.646161+07","assigned","qualified",NULL,NULL,"stg02","stg03",9,9
505,401,9,"Stage transition: stg03 → stg04","2025-11-08 05:21:39.646161+07","qualified","qualified",NULL,NULL,"stg03","stg04",9,9
506,402,7,"Stage transition: stg01 → stg02","2025-12-16 15:15:39.646161+07","new","contacted",NULL,NULL,"stg01","stg02",7,7
507,403,8,"Stage transition: stg01 → stg02","2025-11-21 01:15:39.646161+07","new","contacted",NULL,NULL,"stg01","stg02",8,8
508,404,9,"Stage transition: stg01 → stg02","2025-10-14 21:49:39.646161+07","new","contacted",NULL,NULL,"stg01","stg02",9,9
509,404,9,"Stage transition: stg02 → stg07","2025-10-28 11:49:39.646161+07","assigned","rejected",NULL,NULL,"stg02","stg07",9,9
510,405,7,"Stage transition: stg01 → stg02","2025-12-16 14:21:39.646161+07","new","contacted",NULL,NULL,"stg01","stg02",7,7
511,407,9,"Stage transition: stg01 → stg02","2025-11-30 07:36:39.646161+07","new","assigned",NULL,NULL,"stg01","stg02",9,9
512,408,7,"Stage transition: stg01 → stg02","2025-12-16 13:45:39.646161+07","new","assigned",NULL,NULL,"stg01","stg02",7,7
513,409,8,"Stage transition: stg01 → stg02","2025-12-03 16:41:39.646161+07","new","assigned",NULL,NULL,"stg01","stg02",8,8
514,410,9,"Stage transition: stg01 → stg02","2025-11-07 18:10:39.646161+07","new","contacted",NULL,NULL,"stg01","stg02",9,9
515,412,8,"Stage transition: stg01 → stg02","2025-10-12 12:42:39.646161+07","new","assigned",NULL,NULL,"stg01","stg02",8,8
516,413,9,"Stage transition: stg01 → stg02","2025-12-04 22:26:39.646161+07","new","contacted",NULL,NULL,"stg01","stg02",9,9
517,413,9,"Stage transition: stg02 → stg03","2025-12-10 11:26:39.646161+07","assigned","qualified",NULL,NULL,"stg02","stg03",9,9
518,414,7,"Stage transition: stg01 → stg02","2025-10-04 22:01:39.646161+07","new","assigned",NULL,NULL,"stg01","stg02",7,7
519,415,8,"Stage transition: stg01 → stg02","2025-11-18 02:23:39.646161+07","new","contacted",NULL,NULL,"stg01","stg02",8,8
520,419,9,"Stage transition: stg01 → stg02","2025-10-24 02:15:39.646161+07","new","assigned",NULL,NULL,"stg01","stg02",9,9
521,419,9,"Stage transition: stg02 → stg03","2025-10-26 13:15:39.646161+07","assigned","qualified",NULL,NULL,"stg02","stg03",9,9
522,419,9,"Stage transition: stg03 → stg04","2025-10-31 01:15:39.646161+07","qualified","qualified",NULL,NULL,"stg03","stg04",9,9
523,420,7,"Stage transition: stg01 → stg02","2025-10-18 19:48:39.646161+07","new","contacted",NULL,NULL,"stg01","stg02",7,7
524,420,7,"Stage transition: stg02 → stg03","2025-10-31 06:48:39.646161+07","assigned","qualified",NULL,NULL,"stg02","stg03",7,7
525,420,7,"Stage transition: stg03 → stg04","2025-11-02 20:48:39.646161+07","qualified","qualified",NULL,NULL,"stg03","stg04",7,7
526,422,9,"Stage transition: stg01 → stg02","2025-11-14 09:08:39.646161+07","new","assigned",NULL,NULL,"stg01","stg02",9,9
527,422,9,"Stage transition: stg02 → stg03","2025-11-26 03:08:39.646161+07","contacted","qualified",NULL,NULL,"stg02","stg03",9,9
528,423,7,"Stage transition: stg01 → stg02","2025-10-28 19:43:39.646161+07","new","contacted",NULL,NULL,"stg01","stg02",7,7
529,423,7,"Stage transition: stg02 → stg07","2025-10-30 12:43:39.646161+07","contacted","unqualified",NULL,NULL,"stg02","stg07",7,7
530,424,8,"Stage transition: stg01 → stg02","2025-11-23 18:50:39.646161+07","new","contacted",NULL,NULL,"stg01","stg02",8,8
531,425,9,"Stage transition: stg01 → stg02","2025-10-06 06:25:39.646161+07","new","contacted",NULL,NULL,"stg01","stg02",9,9
532,425,9,"Stage transition: stg02 → stg03","2025-10-19 18:25:39.646161+07","contacted","qualified",NULL,NULL,"stg02","stg03",9,9
533,427,8,"Stage transition: stg01 → stg02","2025-11-13 15:14:39.646161+07","new","contacted",NULL,NULL,"stg01","stg02",8,8
534,427,8,"Stage transition: stg02 → stg03","2025-11-17 07:14:39.646161+07","contacted","qualified",NULL,NULL,"stg02","stg03",8,8
535,427,8,"Stage transition: stg03 → stg04","2025-11-18 19:14:39.646161+07","qualified","qualified",NULL,NULL,"stg03","stg04",8,8
536,427,8,"Stage transition: stg04 → stg05","2025-11-25 07:14:39.646161+07","qualified","qualified",NULL,NULL,"stg04","stg05",8,8
537,428,9,"Stage transition: stg01 → stg02","2025-11-04 00:00:39.646161+07","new","assigned",NULL,NULL,"stg01","stg02",9,9
538,429,7,"Stage transition: stg01 → stg02","2025-11-02 10:02:39.646161+07","new","assigned",NULL,NULL,"stg01","stg02",7,7
539,431,9,"Stage transition: stg01 → stg02","2025-10-14 03:20:39.646161+07","new","assigned",NULL,NULL,"stg01","stg02",9,9
540,431,9,"Stage transition: stg02 → stg03","2025-10-15 11:20:39.646161+07","contacted","qualified",NULL,NULL,"stg02","stg03",9,9
541,431,9,"Stage transition: stg03 → stg04","2025-10-24 19:20:39.646161+07","qualified","qualified",NULL,NULL,"stg03","stg04",9,9
542,434,9,"Stage transition: stg01 → stg02","2025-10-12 05:52:39.646161+07","new","contacted",NULL,NULL,"stg01","stg02",9,9
543,434,9,"Stage transition: stg02 → stg03","2025-10-20 20:52:39.646161+07","assigned","qualified",NULL,NULL,"stg02","stg03",9,9
544,434,9,"Stage transition: stg03 → stg04","2025-10-23 06:52:39.646161+07","qualified","qualified",NULL,NULL,"stg03","stg04",9,9
545,434,9,"Stage transition: stg04 → stg05","2025-10-26 14:52:39.646161+07","qualified","qualified",NULL,NULL,"stg04","stg05",9,9
546,435,7,"Stage transition: stg01 → stg02","2025-10-23 10:00:39.646161+07","new","contacted",NULL,NULL,"stg01","stg02",7,7
547,435,7,"Stage transition: stg02 → stg03","2025-10-28 18:00:39.646161+07","contacted","qualified",NULL,NULL,"stg02","stg03",7,7
548,435,7,"Stage transition: stg03 → stg04","2025-10-30 06:00:39.646161+07","qualified","qualified",NULL,NULL,"stg03","stg04",7,7
549,437,9,"Stage transition: stg01 → stg02","2025-10-22 16:50:39.646161+07","new","assigned",NULL,NULL,"stg01","stg02",9,9
550,437,9,"Stage transition: stg02 → stg03","2025-11-01 07:50:39.646161+07","contacted","qualified",NULL,NULL,"stg02","stg03",9,9
551,438,7,"Stage transition: stg01 → stg02","2025-11-18 06:42:39.646161+07","new","contacted",NULL,NULL,"stg01","stg02",7,7
552,438,7,"Stage transition: stg02 → stg07","2025-11-26 21:42:39.646161+07","assigned","unqualified",NULL,NULL,"stg02","stg07",7,7
553,440,9,"Stage transition: stg01 → stg02","2025-11-03 01:05:39.646161+07","new","assigned",NULL,NULL,"stg01","stg02",9,9
554,441,7,"Stage transition: stg01 → stg02","2025-11-02 06:56:39.646161+07","new","assigned",NULL,NULL,"stg01","stg02",7,7
555,442,8,"Stage transition: stg01 → stg02","2025-11-08 17:30:39.646161+07","new","assigned",NULL,NULL,"stg01","stg02",8,8
556,442,8,"Stage transition: stg02 → stg03","2025-11-19 04:30:39.646161+07","assigned","qualified",NULL,NULL,"stg02","stg03",8,8
557,443,9,"Stage transition: stg01 → stg02","2025-10-13 12:48:39.646161+07","new","contacted",NULL,NULL,"stg01","stg02",9,9
558,444,7,"Stage transition: stg01 → stg02","2025-11-17 11:07:39.646161+07","new","assigned",NULL,NULL,"stg01","stg02",7,7
559,444,7,"Stage transition: stg02 → stg03","2025-12-02 01:07:39.646161+07","assigned","qualified",NULL,NULL,"stg02","stg03",7,7
560,445,8,"Stage transition: stg01 → stg02","2025-11-21 06:49:39.646161+07","new","contacted",NULL,NULL,"stg01","stg02",8,8
561,445,8,"Stage transition: stg02 → stg03","2025-11-23 18:49:39.646161+07","contacted","qualified",NULL,NULL,"stg02","stg03",8,8
562,447,7,"Stage transition: stg01 → stg02","2025-11-23 00:33:39.646161+07","new","contacted",NULL,NULL,"stg01","stg02",7,7
563,447,7,"Stage transition: stg02 → stg03","2025-12-01 15:33:39.646161+07","contacted","qualified",NULL,NULL,"stg02","stg03",7,7
564,448,8,"Stage transition: stg01 → stg02","2025-10-18 13:40:39.646161+07","new","assigned",NULL,NULL,"stg01","stg02",8,8
565,448,8,"Stage transition: stg02 → stg03","2025-10-31 02:40:39.646161+07","contacted","qualified",NULL,NULL,"stg02","stg03",8,8
566,449,9,"Stage transition: stg01 → stg02","2025-11-05 20:13:39.646161+07","new","assigned",NULL,NULL,"stg01","stg02",9,9
567,449,9,"Stage transition: stg02 → stg03","2025-11-10 12:13:39.646161+07","assigned","qualified",NULL,NULL,"stg02","stg03",9,9
568,451,8,"Stage transition: stg01 → stg02","2025-10-04 00:55:39.646161+07","new","assigned",NULL,NULL,"stg01","stg02",8,8
569,452,9,"Stage transition: stg01 → stg02","2025-11-01 09:41:39.646161+07","new","contacted",NULL,NULL,"stg01","stg02",9,9
570,452,9,"Stage transition: stg02 → stg03","2025-11-15 21:41:39.646161+07","assigned","qualified",NULL,NULL,"stg02","stg03",9,9
571,452,9,"Stage transition: stg03 → stg04","2025-11-26 05:41:39.646161+07","qualified","qualified",NULL,NULL,"stg03","stg04",9,9
572,453,7,"Stage transition: stg01 → stg02","2025-11-03 23:01:39.646161+07","new","assigned",NULL,NULL,"stg01","stg02",7,7
573,453,7,"Stage transition: stg02 → stg03","2025-11-08 17:01:39.646161+07","contacted","qualified",NULL,NULL,"stg02","stg03",7,7
574,454,8,"Stage transition: stg01 → stg02","2025-11-30 07:03:39.646161+07","new","contacted",NULL,NULL,"stg01","stg02",8,8
575,454,8,"Stage transition: stg02 → stg03","2025-12-13 21:03:39.646161+07","contacted","qualified",NULL,NULL,"stg02","stg03",8,8
576,457,8,"Stage transition: stg01 → stg02","2025-11-14 18:02:39.646161+07","new","assigned",NULL,NULL,"stg01","stg02",8,8
577,457,8,"Stage transition: stg02 → stg03","2025-11-24 04:02:39.646161+07","assigned","qualified",NULL,NULL,"stg02","stg03",8,8
578,461,9,"Stage transition: stg01 → stg02","2025-11-26 19:55:39.646161+07","new","contacted",NULL,NULL,"stg01","stg02",9,9
579,461,9,"Stage transition: stg02 → stg03","2025-12-09 07:55:39.646161+07","assigned","qualified",NULL,NULL,"stg02","stg03",9,9
580,462,7,"Stage transition: stg01 → stg02","2025-10-25 06:17:39.646161+07","new","assigned",NULL,NULL,"stg01","stg02",7,7
581,463,8,"Stage transition: stg01 → stg02","2025-12-10 15:00:39.646161+07","new","assigned",NULL,NULL,"stg01","stg02",8,8
582,465,7,"Stage transition: stg01 → stg02","2025-11-14 16:58:39.646161+07","new","assigned",NULL,NULL,"stg01","stg02",7,7
583,466,8,"Stage transition: stg01 → stg02","2025-11-04 03:41:39.646161+07","new","assigned",NULL,NULL,"stg01","stg02",8,8
584,467,9,"Stage transition: stg01 → stg02","2025-10-24 15:09:39.646161+07","new","contacted",NULL,NULL,"stg01","stg02",9,9
585,467,9,"Stage transition: stg02 → stg03","2025-11-03 00:09:39.646161+07","contacted","qualified",NULL,NULL,"stg02","stg03",9,9
586,468,7,"Stage transition: stg01 → stg02","2025-12-02 14:21:39.646161+07","new","contacted",NULL,NULL,"stg01","stg02",7,7
587,469,8,"Stage transition: stg01 → stg02","2025-11-07 02:53:39.646161+07","new","contacted",NULL,NULL,"stg01","stg02",8,8
588,470,9,"Stage transition: stg01 → stg02","2025-10-19 20:04:39.646161+07","new","assigned",NULL,NULL,"stg01","stg02",9,9
589,471,7,"Stage transition: stg01 → stg02","2025-11-08 15:54:39.646161+07","new","contacted",NULL,NULL,"stg01","stg02",7,7
590,472,8,"Stage transition: stg01 → stg02","2025-11-02 00:22:39.646161+07","new","contacted",NULL,NULL,"stg01","stg02",8,8
591,472,8,"Stage transition: stg02 → stg03","2025-11-04 10:22:39.646161+07","assigned","qualified",NULL,NULL,"stg02","stg03",8,8
592,473,9,"Stage transition: stg01 → stg02","2025-10-02 15:44:39.646161+07","new","contacted",NULL,NULL,"stg01","stg02",9,9
593,474,7,"Stage transition: stg01 → stg02","2025-12-06 12:03:39.646161+07","new","contacted",NULL,NULL,"stg01","stg02",7,7
594,475,8,"Stage transition: stg01 → stg02","2025-12-12 12:57:39.646161+07","new","contacted",NULL,NULL,"stg01","stg02",8,8
595,476,9,"Stage transition: stg01 → stg02","2025-12-13 16:54:39.646161+07","new","contacted",NULL,NULL,"stg01","stg02",9,9
596,478,8,"Stage transition: stg01 → stg02","2025-11-21 22:56:39.646161+07","new","assigned",NULL,NULL,"stg01","stg02",8,8
597,478,8,"Stage transition: stg02 → stg07","2025-11-25 08:56:39.646161+07","assigned","unqualified",NULL,NULL,"stg02","stg07",8,8
598,479,9,"Stage transition: stg01 → stg02","2025-12-14 09:42:39.646161+07","new","contacted",NULL,NULL,"stg01","stg02",9,9
599,480,7,"Stage transition: stg01 → stg02","2025-10-28 04:10:39.646161+07","new","contacted",NULL,NULL,"stg01","stg02",7,7
600,482,9,"Stage transition: stg01 → stg02","2025-10-13 00:03:39.646161+07","new","contacted",NULL,NULL,"stg01","stg02",9,9
601,482,9,"Stage transition: stg02 → stg03","2025-10-18 13:03:39.646161+07","contacted","qualified",NULL,NULL,"stg02","stg03",9,9
602,482,9,"Stage transition: stg03 → stg04","2025-10-27 01:03:39.646161+07","qualified","qualified",NULL,NULL,"stg03","stg04",9,9
603,482,9,"Stage transition: stg04 → stg05","2025-11-05 19:03:39.646161+07","qualified","qualified",NULL,NULL,"stg04","stg05",9,9
604,485,9,"Stage transition: stg01 → stg02","2025-11-28 06:52:39.646161+07","new","assigned",NULL,NULL,"stg01","stg02",9,9
605,487,8,"Stage transition: stg01 → stg02","2025-11-03 04:46:39.646161+07","new","assigned",NULL,NULL,"stg01","stg02",8,8
606,487,8,"Stage transition: stg02 → stg07","2025-11-11 13:46:39.646161+07","contacted","unqualified",NULL,NULL,"stg02","stg07",8,8
607,488,9,"Stage transition: stg01 → stg02","2025-10-01 01:08:39.646161+07","new","contacted",NULL,NULL,"stg01","stg02",9,9
608,490,8,"Stage transition: stg01 → stg02","2025-11-16 06:36:39.646161+07","new","contacted",NULL,NULL,"stg01","stg02",8,8
609,490,8,"Stage transition: stg02 → stg03","2025-11-20 14:36:39.646161+07","contacted","qualified",NULL,NULL,"stg02","stg03",8,8
610,490,8,"Stage transition: stg03 → stg04","2025-11-25 03:36:39.646161+07","qualified","qualified",NULL,NULL,"stg03","stg04",8,8
611,490,8,"Stage transition: stg04 → stg05","2025-12-03 14:36:39.646161+07","qualified","qualified",NULL,NULL,"stg04","stg05",8,8
612,492,7,"Stage transition: stg01 → stg02","2025-10-24 01:12:39.646161+07","new","contacted",NULL,NULL,"stg01","stg02",7,7
613,494,9,"Stage transition: stg01 → stg02","2025-11-26 02:52:39.646161+07","new","assigned",NULL,NULL,"stg01","stg02",9,9
614,494,9,"Stage transition: stg02 → stg03","2025-12-01 15:52:39.646161+07","contacted","qualified",NULL,NULL,"stg02","stg03",9,9
615,494,9,"Stage transition: stg03 → stg04","2025-12-11 06:52:39.646161+07","qualified","qualified",NULL,NULL,"stg03","stg04",9,9
616,494,9,"Stage transition: stg04 → stg05","2025-12-16 14:52:39.646161+07","qualified","qualified",NULL,NULL,"stg04","stg05",9,9
617,495,7,"Stage transition: stg01 → stg02","2025-11-27 02:33:39.646161+07","new","contacted",NULL,NULL,"stg01","stg02",7,7
618,497,9,"Stage transition: stg01 → stg02","2025-11-22 10:21:39.646161+07","new","assigned",NULL,NULL,"stg01","stg02",9,9
619,500,9,"Stage transition: stg01 → stg02","2025-11-14 02:25:39.646161+07","new","contacted",NULL,NULL,"stg01","stg02",9,9
620,500,9,"Stage transition: stg02 → stg03","2025-11-26 20:25:39.646161+07","contacted","qualified",NULL,NULL,"stg02","stg03",9,9
621,500,9,"Stage transition: stg03 → stg04","2025-12-06 11:25:39.646161+07","qualified","qualified",NULL,NULL,"stg03","stg04",9,9
622,501,7,"Stage transition: stg01 → stg02","2025-11-17 12:22:39.646161+07","new","contacted",NULL,NULL,"stg01","stg02",7,7
623,501,7,"Stage transition: stg02 → stg07","2025-11-21 05:22:39.646161+07","assigned","unqualified",NULL,NULL,"stg02","stg07",7,7
624,505,8,"Stage transition: stg01 → stg02","2025-11-29 12:12:39.646161+07","new","contacted",NULL,NULL,"stg01","stg02",8,8
625,505,8,"Stage transition: stg02 → stg07","2025-12-11 05:12:39.646161+07","contacted","rejected",NULL,NULL,"stg02","stg07",8,8
626,506,9,"Stage transition: stg01 → stg02","2025-10-28 13:40:39.646161+07","new","contacted",NULL,NULL,"stg01","stg02",9,9
627,506,9,"Stage transition: stg02 → stg03","2025-11-06 07:40:39.646161+07","contacted","qualified",NULL,NULL,"stg02","stg03",9,9
628,507,7,"Stage transition: stg01 → stg02","2025-12-12 00:02:39.646161+07","new","contacted",NULL,NULL,"stg01","stg02",7,7
629,508,8,"Stage transition: stg01 → stg02","2025-11-17 18:33:39.646161+07","new","assigned",NULL,NULL,"stg01","stg02",8,8
630,510,7,"Stage transition: stg01 → stg02","2025-11-21 22:11:39.646161+07","new","contacted",NULL,NULL,"stg01","stg02",7,7
631,510,7,"Stage transition: stg02 → stg03","2025-12-04 11:11:39.646161+07","contacted","qualified",NULL,NULL,"stg02","stg03",7,7
632,513,7,"Stage transition: stg01 → stg02","2025-10-21 08:40:39.646161+07","new","assigned",NULL,NULL,"stg01","stg02",7,7
633,514,8,"Stage transition: stg01 → stg02","2025-11-28 11:24:39.646161+07","new","contacted",NULL,NULL,"stg01","stg02",8,8
634,515,9,"Stage transition: stg01 → stg02","2025-10-04 00:34:39.646161+07","new","assigned",NULL,NULL,"stg01","stg02",9,9
635,515,9,"Stage transition: stg02 → stg03","2025-10-13 17:34:39.646161+07","assigned","qualified",NULL,NULL,"stg02","stg03",9,9
636,516,7,"Stage transition: stg01 → stg02","2025-10-06 14:12:39.646161+07","new","assigned",NULL,NULL,"stg01","stg02",7,7
637,516,7,"Stage transition: stg02 → stg03","2025-10-10 03:12:39.646161+07","contacted","qualified",NULL,NULL,"stg02","stg03",7,7
638,517,8,"Stage transition: stg01 → stg02","2025-11-03 11:56:39.646161+07","new","assigned",NULL,NULL,"stg01","stg02",8,8
639,517,8,"Stage transition: stg02 → stg03","2025-11-18 03:56:39.646161+07","assigned","qualified",NULL,NULL,"stg02","stg03",8,8
640,517,8,"Stage transition: stg03 → stg04","2025-11-27 16:56:39.646161+07","qualified","qualified",NULL,NULL,"stg03","stg04",8,8
641,518,9,"Stage transition: stg01 → stg02","2025-10-28 11:24:39.646161+07","new","contacted",NULL,NULL,"stg01","stg02",9,9
642,520,8,"Stage transition: stg01 → stg02","2025-12-14 13:57:39.646161+07","new","contacted",NULL,NULL,"stg01","stg02",8,8
